set,k,QQ,x_b,t,phi_x,F,sigmaF,ReH,ReE,ReHt,dvcs
6,5.75,2.218,0.345,-0.176,52.5,0.096726015,0.0040731323,-1.00965621705448,-0.31,-0.392521420616151,0.0173632276442792
6,5.75,2.218,0.345,-0.176,67.5,0.086198755,0.0039056658,-1.00965621705448,-0.31,-0.392521420616151,0.0173632276442792
6,5.75,2.218,0.345,-0.176,82.5,0.07651151,0.0035218247,-1.00965621705448,-0.31,-0.392521420616151,0.0173632276442792
6,5.75,2.218,0.345,-0.176,97.5,0.068225384,0.003622768,-1.00965621705448,-0.31,-0.392521420616151,0.0173632276442792
6,5.75,2.218,0.345,-0.176,112.5,0.06152158,0.0030483943,-1.00965621705448,-0.31,-0.392521420616151,0.0173632276442792
6,5.75,2.218,0.345,-0.176,127.5,0.056371856,0.0030373156,-1.00965621705448,-0.31,-0.392521420616151,0.0173632276442792
6,5.75,2.218,0.345,-0.176,142.5,0.052663203,0.002823801,-1.00965621705448,-0.31,-0.392521420616151,0.0173632276442792
6,5.75,2.218,0.345,-0.176,157.5,0.05027197,0.0029353802,-1.00965621705448,-0.31,-0.392521420616151,0.0173632276442792
6,5.75,2.218,0.345,-0.176,172.5,0.049101964,0.0028326921,-1.00965621705448,-0.31,-0.392521420616151,0.0173632276442792
6,5.75,2.218,0.345,-0.176,187.5,0.049101964,0.0029078184,-1.00965621705448,-0.31,-0.392521420616151,0.0173632276442792
6,5.75,2.218,0.345,-0.176,202.5,0.05027197,0.002788586,-1.00965621705448,-0.31,-0.392521420616151,0.0173632276442792
6,5.75,2.218,0.345,-0.176,217.5,0.0526632,0.0029296537,-1.00965621705448,-0.31,-0.392521420616151,0.0173632276442792
6,5.75,2.218,0.345,-0.176,232.5,0.056371856,0.002900896,-1.00965621705448,-0.31,-0.392521420616151,0.0173632276442792
6,5.75,2.218,0.345,-0.176,247.5,0.061521575,0.0031855872,-1.00965621705448,-0.31,-0.392521420616151,0.0173632276442792
6,5.75,2.218,0.345,-0.176,262.5,0.06822537,0.0032905096,-1.00965621705448,-0.31,-0.392521420616151,0.0173632276442792
6,5.75,2.218,0.345,-0.176,277.5,0.07651147,0.003541716,-1.00965621705448,-0.31,-0.392521420616151,0.0173632276442792
6,5.75,2.218,0.345,-0.176,292.5,0.086198755,0.003745336,-1.00965621705448,-0.31,-0.392521420616151,0.0173632276442792
6,5.75,2.218,0.345,-0.176,307.5,0.096726015,0.004116659,-1.00965621705448,-0.31,-0.392521420616151,0.0173632276442792
6,5.75,2.218,0.345,-0.176,322.5,0.106998175,0.004350546,-1.00965621705448,-0.31,-0.392521420616151,0.0173632276442792
6,5.75,2.218,0.345,-0.176,337.5,0.11540561,0.0048862733,-1.00965621705448,-0.31,-0.392521420616151,0.0173632276442792
6,5.75,2.218,0.345,-0.176,352.5,0.12019952,0.0052659404,-1.00965621705448,-0.31,-0.392521420616151,0.0173632276442792
7,5.75,2.318,0.363,-0.232,7.5,0.09280245,0.004853568,-1.18235847726947,-0.31,-0.344276467977114,0.0132389452583583
7,5.75,2.318,0.363,-0.232,22.5,0.08739437,0.0042936853,-1.18235847726947,-0.31,-0.344276467977114,0.0132389452583583
7,5.75,2.318,0.363,-0.232,37.5,0.07845347,0.004005834,-1.18235847726947,-0.31,-0.344276467977114,0.0132389452583583
7,5.75,2.318,0.363,-0.232,52.5,0.06838994,0.0036684363,-1.18235847726947,-0.31,-0.344276467977114,0.0132389452583583
7,5.75,2.318,0.363,-0.232,67.5,0.05896103,0.0033100722,-1.18235847726947,-0.31,-0.344276467977114,0.0132389452583583
7,5.75,2.318,0.363,-0.232,82.5,0.050998557,0.0029079379,-1.18235847726947,-0.31,-0.344276467977114,0.0132389452583583
7,5.75,2.318,0.363,-0.232,97.5,0.044684663,0.002517534,-1.18235847726947,-0.31,-0.344276467977114,0.0132389452583583
7,5.75,2.318,0.363,-0.232,112.5,0.039888658,0.002440787,-1.18235847726947,-0.31,-0.344276467977114,0.0132389452583583
7,5.75,2.318,0.363,-0.232,127.5,0.036384128,0.0021328374,-1.18235847726947,-0.31,-0.344276467977114,0.0132389452583583
7,5.75,2.318,0.363,-0.232,142.5,0.033953257,0.0022955798,-1.18235847726947,-0.31,-0.344276467977114,0.0132389452583583
7,5.75,2.318,0.363,-0.232,157.5,0.032426067,0.0020149557,-1.18235847726947,-0.31,-0.344276467977114,0.0132389452583583
7,5.75,2.318,0.363,-0.232,172.5,0.031690124,0.0022195764,-1.18235847726947,-0.31,-0.344276467977114,0.0132389452583583
7,5.75,2.318,0.363,-0.232,187.5,0.031690124,0.0020592243,-1.18235847726947,-0.31,-0.344276467977114,0.0132389452583583
7,5.75,2.318,0.363,-0.232,202.5,0.03242606,0.0020963447,-1.18235847726947,-0.31,-0.344276467977114,0.0132389452583583
7,5.75,2.318,0.363,-0.232,217.5,0.033953257,0.0020762417,-1.18235847726947,-0.31,-0.344276467977114,0.0132389452583583
7,5.75,2.318,0.363,-0.232,232.5,0.036384128,0.002157579,-1.18235847726947,-0.31,-0.344276467977114,0.0132389452583583
7,5.75,2.318,0.363,-0.232,247.5,0.039888658,0.0024068814,-1.18235847726947,-0.31,-0.344276467977114,0.0132389452583583
7,5.75,2.318,0.363,-0.232,262.5,0.044684656,0.0025291515,-1.18235847726947,-0.31,-0.344276467977114,0.0132389452583583
7,5.75,2.318,0.363,-0.232,277.5,0.050998546,0.0029273166,-1.18235847726947,-0.31,-0.344276467977114,0.0132389452583583
7,5.75,2.318,0.363,-0.232,292.5,0.05896103,0.00298048,-1.18235847726947,-0.31,-0.344276467977114,0.0132389452583583
7,5.75,2.318,0.363,-0.232,307.5,0.06838994,0.0033709402,-1.18235847726947,-0.31,-0.344276467977114,0.0132389452583583
7,5.75,2.318,0.363,-0.232,322.5,0.078453474,0.004087426,-1.18235847726947,-0.31,-0.344276467977114,0.0132389452583583
7,5.75,2.318,0.363,-0.232,337.5,0.08739437,0.004602188,-1.18235847726947,-0.31,-0.344276467977114,0.0132389452583583
7,5.75,2.318,0.363,-0.232,352.5,0.09280245,0.005041957,-1.18235847726947,-0.31,-0.344276467977114,0.0132389452583583
8,5.75,2.348,0.368,-0.279,7.5,0.08399899,0.006357044,-1.23967319736316,-0.31,-0.306391061541403,0.010832572288557
8,5.75,2.348,0.368,-0.279,22.5,0.077287726,0.0051597287,-1.23967319736316,-0.31,-0.306391061541403,0.010832572288557
8,5.75,2.348,0.368,-0.279,37.5,0.066882215,0.0044282717,-1.23967319736316,-0.31,-0.306391061541403,0.010832572288557
8,5.75,2.348,0.368,-0.279,52.5,0.056110464,0.0039114607,-1.23967319736316,-0.31,-0.306391061541403,0.010832572288557
8,5.75,2.348,0.368,-0.279,67.5,0.04683858,0.0031967333,-1.23967319736316,-0.31,-0.306391061541403,0.010832572288557
8,5.75,2.348,0.368,-0.279,82.5,0.03957749,0.0026520877,-1.23967319736316,-0.31,-0.306391061541403,0.010832572288557
8,5.75,2.348,0.368,-0.279,97.5,0.03416769,0.0026408206,-1.23967319736316,-0.31,-0.306391061541403,0.010832572288557
8,5.75,2.348,0.368,-0.279,112.5,0.030255673,0.0021505733,-1.23967319736316,-0.31,-0.306391061541403,0.010832572288557
8,5.75,2.348,0.368,-0.279,127.5,0.027501991,0.0020799756,-1.23967319736316,-0.31,-0.306391061541403,0.010832572288557
8,5.75,2.348,0.368,-0.279,142.5,0.025643155,0.0018611803,-1.23967319736316,-0.31,-0.306391061541403,0.010832572288557
8,5.75,2.348,0.368,-0.279,157.5,0.024496613,0.0018301419,-1.23967319736316,-0.31,-0.306391061541403,0.010832572288557
8,5.75,2.348,0.368,-0.279,172.5,0.023949934,0.0017892995,-1.23967319736316,-0.31,-0.306391061541403,0.010832572288557
8,5.75,2.348,0.368,-0.279,187.5,0.023949934,0.0020927452,-1.23967319736316,-0.31,-0.306391061541403,0.010832572288557
8,5.75,2.348,0.368,-0.279,202.5,0.024496607,0.002130225,-1.23967319736316,-0.31,-0.306391061541403,0.010832572288557
8,5.75,2.348,0.368,-0.279,217.5,0.025643155,0.0019073379,-1.23967319736316,-0.31,-0.306391061541403,0.010832572288557
8,5.75,2.348,0.368,-0.279,232.5,0.027501993,0.0018657353,-1.23967319736316,-0.31,-0.306391061541403,0.010832572288557
8,5.75,2.348,0.368,-0.279,247.5,0.030255673,0.0022691756,-1.23967319736316,-0.31,-0.306391061541403,0.010832572288557
8,5.75,2.348,0.368,-0.279,262.5,0.034167685,0.002328186,-1.23967319736316,-0.31,-0.306391061541403,0.010832572288557
8,5.75,2.348,0.368,-0.279,277.5,0.03957746,0.0027063068,-1.23967319736316,-0.31,-0.306391061541403,0.010832572288557
8,5.75,2.348,0.368,-0.279,292.5,0.04683858,0.002958325,-1.23967319736316,-0.31,-0.306391061541403,0.010832572288557
8,5.75,2.348,0.368,-0.279,307.5,0.056110464,0.003537204,-1.23967319736316,-0.31,-0.306391061541403,0.010832572288557
8,5.75,2.348,0.368,-0.279,322.5,0.0668822,0.004527925,-1.23967319736316,-0.31,-0.306391061541403,0.010832572288557
8,5.75,2.348,0.368,-0.279,337.5,0.077287726,0.0057146545,-1.23967319736316,-0.31,-0.306391061541403,0.010832572288557
8,5.75,2.348,0.368,-0.279,352.5,0.083998986,0.006887917,-1.23967319736316,-0.31,-0.306391061541403,0.010832572288557
9,5.75,2.36,0.371,-0.325,7.5,0.0766532,0.00823332,-1.27770669457776,-0.31,-0.268748789315041,0.00859002089184716
9,5.75,2.36,0.371,-0.325,22.5,0.06870809,0.0067107193,-1.27770669457776,-0.31,-0.268748789315041,0.00859002089184716
9,5.75,2.36,0.371,-0.325,37.5,0.057186853,0.0055156723,-1.27770669457776,-0.31,-0.268748789315041,0.00859002089184716
9,5.75,2.36,0.371,-0.325,52.5,0.046195757,0.004242618,-1.27770669457776,-0.31,-0.268748789315041,0.00859002089184716
9,5.75,2.36,0.371,-0.325,67.5,0.037435163,0.0031737532,-1.27770669457776,-0.31,-0.268748789315041,0.00859002089184716
9,5.75,2.36,0.371,-0.325,82.5,0.030999016,0.002861519,-1.27770669457776,-0.31,-0.268748789315041,0.00859002089184716
9,5.75,2.36,0.371,-0.325,97.5,0.026437331,0.002401567,-1.27770669457776,-0.31,-0.268748789315041,0.00859002089184716
9,5.75,2.36,0.371,-0.325,112.5,0.023260655,0.001952732,-1.27770669457776,-0.31,-0.268748789315041,0.00859002089184716
9,5.75,2.36,0.371,-0.325,127.5,0.021085637,0.0018485778,-1.27770669457776,-0.31,-0.268748789315041,0.00859002089184716
9,5.75,2.36,0.371,-0.325,142.5,0.019645952,0.0017420065,-1.27770669457776,-0.31,-0.268748789315041,0.00859002089184716
9,5.75,2.36,0.371,-0.325,157.5,0.01876942,0.0017782149,-1.27770669457776,-0.31,-0.268748789315041,0.00859002089184716
9,5.75,2.36,0.371,-0.325,172.5,0.018354572,0.0017275324,-1.27770669457776,-0.31,-0.268748789315041,0.00859002089184716
