,k,QQ,x_b,t,phi_x,F,ReH,ReE,ReHt,dvcs
1105,2.5,1.0,0.4711111111111111,-0.6,0.0,5.8983635902404785,-0.4574662744998932,-0.148978590965271,-0.2591126561164856,-0.0977039560675621
1106,2.5,1.0,0.4711111111111111,-0.6,15.0,1.4263330698013306,-0.4574662744998932,-0.148978590965271,-0.2591126561164856,-0.0977039560675621
1107,2.5,1.0,0.4711111111111111,-0.6,30.0,0.3149315416812897,-0.4574662744998932,-0.148978590965271,-0.2591126561164856,-0.0977039560675621
1108,2.5,1.0,0.4711111111111111,-0.6,45.0,0.06221506744623184,-0.4574662744998932,-0.148978590965271,-0.2591126561164856,-0.0977039560675621
1109,2.5,1.0,0.4711111111111111,-0.6,60.0,-0.021483860909938812,-0.4574662744998932,-0.148978590965271,-0.2591126561164856,-0.0977039560675621
1110,2.5,1.0,0.4711111111111111,-0.6,75.0,-0.05572368949651718,-0.4574662744998932,-0.148978590965271,-0.2591126561164856,-0.0977039560675621
1111,2.5,1.0,0.4711111111111111,-0.6,90.0,-0.07183189690113068,-0.4574662744998932,-0.148978590965271,-0.2591126561164856,-0.0977039560675621
1112,2.5,1.0,0.4711111111111111,-0.6,105.0,-0.08021752536296844,-0.4574662744998932,-0.148978590965271,-0.2591126561164856,-0.0977039560675621
1113,2.5,1.0,0.4711111111111111,-0.6,120.0,-0.08490855991840363,-0.4574662744998932,-0.148978590965271,-0.2591126561164856,-0.0977039560675621
1114,2.5,1.0,0.4711111111111111,-0.6,135.0,-0.08764296025037766,-0.4574662744998932,-0.148978590965271,-0.2591126561164856,-0.0977039560675621
1115,2.5,1.0,0.4711111111111111,-0.6,150.0,-0.08923080563545227,-0.4574662744998932,-0.148978590965271,-0.2591126561164856,-0.0977039560675621
1116,2.5,1.0,0.4711111111111111,-0.6,165.0,-0.09006441384553909,-0.4574662744998932,-0.148978590965271,-0.2591126561164856,-0.0977039560675621
1117,2.5,1.0,0.4711111111111111,-0.6,180.0,-0.09032469987869263,-0.4574662744998932,-0.148978590965271,-0.2591126561164856,-0.0977039560675621
1118,2.5,1.0,0.4711111111111111,-0.52,0.0,1.6932487487792969,-0.44694578647613525,-0.14682935178279877,-0.25354671478271484,-0.09768426418304443
1119,2.5,1.0,0.4711111111111111,-0.52,15.0,0.9220556020736694,-0.44694578647613525,-0.14682935178279877,-0.25354671478271484,-0.09768426418304443
1120,2.5,1.0,0.4711111111111111,-0.52,30.0,0.31419843435287476,-0.44694578647613525,-0.14682935178279877,-0.25354671478271484,-0.09768426418304443
1121,2.5,1.0,0.4711111111111111,-0.52,45.0,0.08821804821491241,-0.44694578647613525,-0.14682935178279877,-0.25354671478271484,-0.09768426418304443
1122,2.5,1.0,0.4711111111111111,-0.52,60.0,-0.0019476190209388733,-0.44694578647613525,-0.14682935178279877,-0.25354671478271484,-0.09768426418304443
1123,2.5,1.0,0.4711111111111111,-0.52,75.0,-0.04257997125387192,-0.44694578647613525,-0.14682935178279877,-0.25354671478271484,-0.09768426418304443
1124,2.5,1.0,0.4711111111111111,-0.52,90.0,-0.06284044682979584,-0.44694578647613525,-0.14682935178279877,-0.25354671478271484,-0.09768426418304443
