k,QQ,xB,t,phi,ReH,ReE,ReHt,ReEt,ImH,ImE,ImHt,ImEt,F_true,F_true_py,F_true_fix_dvcs
5.75,2.318,0.363,-0.232,172.5,-2.5008,2.05692,1.18094,99.7182,2.91369,0,1.42363,0,0.0282828,0.028282799,0.028282808
5.75,2.318,0.363,-0.232,187.5,-2.5008,2.05692,1.18094,99.7182,2.91369,0,1.42363,0,0.0282828,0.028282799,0.028282808
5.75,2.318,0.363,-0.232,202.5,-2.5008,2.05692,1.18094,99.7182,2.91369,0,1.42363,0,0.0289437,0.02894366,0.028943669
5.75,2.318,0.363,-0.232,217.5,-2.5008,2.05692,1.18094,99.7182,2.91369,0,1.42363,0,0.0303142,0.030314252,0.030314261
5.75,2.318,0.363,-0.232,232.5,-2.5008,2.05692,1.18094,99.7182,2.91369,0,1.42363,0,0.0324938,0.0324938,0.032493807
5.75,2.318,0.363,-0.232,247.5,-2.5008,2.05692,1.18094,99.7182,2.91369,0,1.42363,0,0.0356321,0.035632156,0.035632163
5.75,2.318,0.363,-0.232,262.5,-2.5008,2.05692,1.18094,99.7182,2.91369,0,1.42363,0,0.039921,0.039920986,0.039920993
5.75,2.318,0.363,-0.232,277.5,-2.5008,2.05692,1.18094,99.7182,2.91369,0,1.42363,0,0.0455588,0.045558795,0.045558803
5.75,2.318,0.363,-0.232,292.5,-2.5008,2.05692,1.18094,99.7182,2.91369,0,1.42363,0,0.0526584,0.052658357,0.052658364
5.75,2.318,0.363,-0.232,307.5,-2.5008,2.05692,1.18094,99.7182,2.91369,0,1.42363,0,0.0610544,0.061054405,0.061054416
5.75,2.318,0.363,-0.232,322.5,-2.5008,2.05692,1.18094,99.7182,2.91369,0,1.42363,0,0.0700059,0.07000588,0.07000589
5.75,2.318,0.363,-0.232,337.5,-2.5008,2.05692,1.18094,99.7182,2.91369,0,1.42363,0,0.0779525,0.077952474,0.07795248
5.75,2.318,0.363,-0.232,352.5,-2.5008,2.05692,1.18094,99.7182,2.91369,0,1.42363,0,0.0827568,0.0827568,0.08275681
5.75,2.348,0.368,-0.279,7.5,-2.46665,1.94659,1.04462,82.1512,2.66341,0,1.35271,0,0.0758857,0.07588565,0.07588564
5.75,2.348,0.368,-0.279,22.5,-2.46665,1.94659,1.04462,82.1512,2.66341,0,1.35271,0,0.0698981,0.06989797,0.069897965
5.75,2.348,0.368,-0.279,37.5,-2.46665,1.94659,1.04462,82.1512,2.66341,0,1.35271,0,0.0606095,0.06060944,0.060609434
5.75,2.348,0.368,-0.279,52.5,-2.46665,1.94659,1.04462,82.1512,2.66341,0,1.35271,0,0.0509855,0.05098548,0.050985474
5.75,2.348,0.368,-0.279,67.5,-2.46665,1.94659,1.04462,82.1512,2.66341,0,1.35271,0,0.0426915,0.042691447,0.04269144
5.75,2.348,0.368,-0.279,82.5,-2.46665,1.94659,1.04462,82.1512,2.66341,0,1.35271,0,0.0361864,0.03618639,0.036186382
5.75,2.348,0.368,-0.279,97.5,-2.46665,1.94659,1.04462,82.1512,2.66341,0,1.35271,0,0.0313318,0.031331763,0.031331755
5.75,2.348,0.368,-0.279,112.5,-2.46665,1.94659,1.04462,82.1512,2.66341,0,1.35271,0,0.0278152,0.027815208,0.0278152
5.75,2.348,0.368,-0.279,127.5,-2.46665,1.94659,1.04462,82.1512,2.66341,0,1.35271,0,0.0253359,0.02533589,0.025335882
5.75,2.348,0.368,-0.279,142.5,-2.46665,1.94659,1.04462,82.1512,2.66341,0,1.35271,0,0.0236599,0.023659918,0.023659911
5.75,2.348,0.368,-0.279,157.5,-2.46665,1.94659,1.04462,82.1512,2.66341,0,1.35271,0,0.0226251,0.022625063,0.022625055
5.75,2.348,0.368,-0.279,172.5,-2.46665,1.94659,1.04462,82.1512,2.66341,0,1.35271,0,0.0221313,0.022131301,0.022131294
5.75,2.348,0.368,-0.279,187.5,-2.46665,1.94659,1.04462,82.1512,2.66341,0,1.35271,0,0.0221313,0.022131301,0.022131294
5.75,2.348,0.368,-0.279,202.5,-2.46665,1.94659,1.04462,82.1512,2.66341,0,1.35271,0,0.0226251,0.022625059,0.02262505
5.75,2.348,0.368,-0.279,217.5,-2.46665,1.94659,1.04462,82.1512,2.66341,0,1.35271,0,0.0236599,0.023659918,0.023659911
5.75,2.348,0.368,-0.279,232.5,-2.46665,1.94659,1.04462,82.1512,2.66341,0,1.35271,0,0.0253359,0.02533589,0.025335882
5.75,2.348,0.368,-0.279,247.5,-2.46665,1.94659,1.04462,82.1512,2.66341,0,1.35271,0,0.0278152,0.027815208,0.0278152
